rank,score,popularity,title,type,source,genres,demographic,rating
456,8.17,2977,Kuroshitsuji: Midori no Majo-hen,tv,manga,"Action, Historical, Mystery, Mythology, Supernatural",Shounen,r
457,8.17,1533,Little Busters! Refrain,tv,visual_novel,"Comedy, Drama, Romance, School",,pg_13
458,8.17,2770,Major S2,tv,manga,"Sports, Team Sports",Shounen,pg_13
459,8.17,3654,Meitantei Conan Movie 20: Junkoku no Nightmare,movie,manga,"Action, Detective, Mystery",Shounen,g
460,8.17,3397,Natsume Yuujinchou: Ishi Okoshi to Ayashiki Raihousha,movie,manga,"Iyashikei, Mythology, Slice of Life, Supernatural",Shoujo,pg_13
461,8.17,1289,Non Non Biyori Repeat,tv,manga,"CGDCT, Iyashikei, School, Slice of Life",Seinen,pg_13
462,8.17,1425,Tengen Toppa Gurren Lagann Movie 1: Gurren-hen,movie,original,"Mecha, Sci-Fi",,pg_13
463,8.17,3085,Yojouhan Time Machine Blues,ona,novel,"Adult Cast, Comedy, Mystery, Psychological, Romance, Suspense, Time Travel",,pg_13
464,8.17,1840,Yoru wa Mijikashi Arukeyo Otome,movie,novel,"Adult Cast, Comedy, Romance",,r+
465,8.17,509,Yuukoku no Moriarty,tv,manga,"Adult Cast, Historical, Mystery, Organized Crime, Psychological, Suspense",Shounen,r
466,8.17,910,Ao no Hako,tv,manga,"Love Polygon, Romance, School, Sports, Team Sports",Shounen,pg_13
467,8.17,369,Bakuman.,tv,manga,"Comedy, Drama, Otaku Culture, Romance",Shounen,pg_13
468,8.17,747,Ballroom e Youkoso,tv,manga,"Performing Arts, Sports",Shounen,pg_13
469,8.17,434,Black Lagoon: The Second Barrage,tv,manga,"Action, Adult Cast, Organized Crime",Seinen,r
470,8.17,9418,Cang Yuan Tu,ona,web_novel,"Action, Adventure, Fantasy, Historical, Martial Arts",,pg_13
471,8.17,512,Chihayafuru,tv,manga,"Drama, Love Polygon, Romance, School, Sports, Strategy Game",Josei,pg_13
472,8.17,3109,Digimon Adventure: Last Evolution Kizuna,movie,original,"Action, Adventure, Comedy, Drama",,pg_13
473,8.17,3936,Ginga Eiyuu Densetsu: Die Neue These - Seiran 2,movie,novel,"Adult Cast, Drama, Military, Sci-Fi, Space",,r
474,8.17,3673,Girls & Panzer: Saishuushou Part 3,movie,original,"CGDCT, Military, School",,pg_13
475,8.16,208,Akira,movie,manga,"Action, Gore, Horror, Military, Sci-Fi, Super Power",Seinen,r+
476,8.16,2596,Aria the Natural,tv,manga,"Iyashikei, Sci-Fi, Slice of Life",Shounen,g
477,8.16,206,Bungou Stray Dogs 2nd Season,tv,manga,"Action, Adult Cast, Detective, Mystery, Organized Crime, Super Power",Seinen,r
478,8.16,485,Higurashi no Naku Koro ni Kai,tv,visual_novel,"Gore, Horror, Mystery, Psychological, Suspense",,r
479,8.16,5943,Hyakuemu.,movie,web_manga,"Drama, Sports",,pg_13
480,8.16,209,No Game No Life: Zero,movie,light_novel,"Drama, Fantasy, Isekai, Romance",,pg_13
481,8.16,135,Ouran Koukou Host Club,tv,manga,"Comedy, Crossdressing, Reverse Harem, Romance, School",Shoujo,pg_13
482,8.15,2834,Kono Subarashii Sekai ni Shukufuku wo! 3: Bonus Stage,ova,light_novel,"Adventure, Comedy, Fantasy, Isekai, Parody",,pg_13
483,8.15,1373,Kotarou wa Hitorigurashi,ona,manga,"Childcare, Slice of Life",Seinen,pg_13
484,8.15,1870,Lupin III: Cagliostro no Shiro,movie,manga,"Action, Adult Cast, Adventure, Award Winning, Comedy, Mystery",Seinen,pg_13
485,8.15,4063,Non Non Biyori Nonstop: Bukatsu wo Ganbatta,ova,manga,"CGDCT, Iyashikei, Slice of Life",Seinen,pg_13
486,8.15,1101,Ao Ashi,tv,manga,"Sports, Team Sports",Seinen,pg_13
487,8.15,427,Dr. Stone: New World,tv,manga,"Adventure, Comedy",Shounen,pg_13
488,8.15,140,Dr. Stone: Stone Wars,tv,manga,"Adventure, Comedy",Shounen,pg_13
489,8.15,496,Fate/stay night Movie: Heaven's Feel - I. Presage Flower,movie,visual_novel,"Action, Fantasy, Urban Fantasy",,r
490,8.15,3204,Holo no Graffiti,ona,other,Comedy,,pg_13
491,8.14,55,Black Clover,tv,manga,"Action, Fantasy",Shounen,pg_13
492,8.14,244,Blue Lock,tv,manga,"Sports, Team Sports",Shounen,pg_13
493,8.14,430,Lycoris Recoil,tv,original,Action,,pg_13
494,8.14,88,Noragami Aragoto,tv,manga,"Action, Mythology, Supernatural",Shounen,pg_13
495,8.14,1475,Princess Tutu,tv,original,"Anthropomorphic, Drama, Love Polygon, Mahou Shoujo, Mystery, Performing Arts, Romance",,pg_13
496,8.14,122,Sono Bisque Doll wa Koi wo Suru,tv,manga,"Otaku Culture, Romance, School",Seinen,pg_13
497,8.14,2330,The Fable,tv,manga,"Adult Cast, Comedy, Organized Crime, Suspense",Seinen,r
498,8.14,1048,Toaru Kagaku no Railgun T,tv,manga,"Action, Fantasy, Sci-Fi, Super Power, Urban Fantasy",,r
499,8.13,6981,Shen Yin Wangzuo,ona,web_novel,"Action, Adventure, Fantasy",,pg_13
500,8.13,78,Tensei shitara Slime Datta Ken,tv,manga,"Action, Comedy, Fantasy, Isekai, Reincarnation",Shounen,pg_13
