rank,score,popularity,title,type,source,genres,demographic,rating
127,8.55,277,Perfect Blue,movie,novel,"Adult Cast, Avant Garde, Award Winning, Drama, Horror, Psychological, Showbiz, Suspense",,r+
128,8.55,812,Slam Dunk,tv,manga,"School, Sports, Team Sports",Shounen,pg_13
129,8.55,207,Steins;Gate 0,tv,visual_novel,"Drama, Sci-Fi, Suspense, Time Travel",,pg_13
130,8.55,514,Yojouhan Shinwa Taikei,tv,novel,"Adult Cast, Award Winning, Comedy, Mystery, Psychological, Romance, Suspense, Time Travel",,r
131,8.55,181,[Oshi no Ko],tv,manga,"Award Winning, Drama, Reincarnation, Showbiz",Seinen,pg_13
132,8.55,6767,Doupo Cangqiong: San Nian Zhi Yue,ona,web_novel,"Action, Adventure, Fantasy, Historical, Martial Arts",,pg_13
133,8.54,139,Fate/Zero 2nd Season,tv,light_novel,"Action, Fantasy, Urban Fantasy",,r
134,8.54,300,Hotaru no Haka,movie,novel,"Drama, Historical",,pg_13
135,8.54,887,Shouwa Genroku Rakugo Shinjuu,tv,manga,"Adult Cast, Drama, Historical, Love Polygon, Performing Arts, Romance",Josei,pg_13
136,8.53,12,Shingeki no Kyojin Season 2,tv,manga,"Action, Drama, Gore, Military, Survival, Suspense",Shounen,r
137,8.53,1043,Zoku Natsume Yuujinchou,tv,manga,"Iyashikei, Mythology, Slice of Life, Supernatural",Shoujo,pg_13
138,8.53,523,[Oshi no Ko] 2nd Season,tv,manga,"Drama, Reincarnation, Showbiz",Seinen,pg_13
139,8.53,1427,Dr. Stone: Science Future Part 2,tv,manga,"Adventure, Comedy",Shounen,pg_13
140,8.53,431,Fruits Basket 2nd Season,tv,manga,"Drama, Romance, School, Supernatural",Shoujo,pg_13
141,8.52,775,Bakuman. 3rd Season,tv,manga,"Comedy, Drama, Otaku Culture, Romance",Shounen,pg_13
142,8.52,1535,Gintama Movie 1: Shinyaku Benizakura-hen,movie,manga,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi",Shounen,r
143,8.52,13,Jujutsu Kaisen,tv,manga,"Action, Award Winning, School, Supernatural",Shounen,r
144,8.52,1719,Mushishi: Hihamukage,tv_special,manga,"Adult Cast, Adventure, Historical, Iyashikei, Mystery, Slice of Life, Supernatural",Seinen,pg_13
145,8.52,109,Samurai Champloo,tv,original,"Action, Adventure, Comedy, Historical, Samurai",,r
146,8.51,1250,Gintama. Porori-hen,tv,manga,"Action, Comedy, Gag Humor, Historical, Parody, Samurai, Sci-Fi",Shounen,pg_13
147,8.51,981,JoJo no Kimyou na Bouken Part 6: Stone Ocean Part 3,ona,manga,"Action, Adventure, Super Power",Shounen,r
148,8.51,1092,Kara no Kyoukai Movie 5: Mujun Rasen,movie,light_novel,"Action, Drama, Fantasy, Mystery, Romance, Suspense, Urban Fantasy",,r
149,8.51,1153,Koukaku Kidoutai: Stand Alone Complex 2nd GIG,tv,manga,"Adult Cast, Detective, Mecha, Military, Mystery, Sci-Fi",Seinen,r
150,8.5,129,JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,tv,manga,"Action, Adventure, Super Power",Shounen,r
151,8.5,8949,Luo Xiaohei Zhanji 2,movie,original,"Adventure, Drama, Fantasy",,g
152,8.5,636,Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari,movie,original,"Award Winning, Drama, Mahou Shoujo, Psychological, Suspense",,pg_13
153,8.5,7503,Nezha Zhi Mo Tong Nao Hai,movie,original,"Action, Comedy, Drama, Fantasy, Historical",,pg_13
154,8.5,4891,Shoujo☆Kageki Revue Starlight Movie,movie,original,"Drama, Music, Performing Arts, School",,pg_13
155,8.5,451,Sora yori mo Tooi Basho,tv,original,"Adventure, CGDCT, Comedy, Drama",,pg_13
156,8.5,1099,Yuru Camp△ Season 2,tv,manga,"CGDCT, Iyashikei, Slice of Life",,pg_13
157,8.5,1522,Grand Blue Season 2,tv,manga,"Adult Cast, Comedy, Gag Humor",Seinen,pg_13
158,8.49,28,Mob Psycho 100,tv,web_manga,"Action, Comedy, Supernatural",,pg_13
159,8.49,306,Ousama Ranking,tv,web_manga,"Adventure, Fantasy",,pg_13
160,8.49,3174,Tian Guan Cifu Special,ona,web_novel,"Action, Adventure, Drama, Fantasy, Historical, Mythology",,pg_13
